District,County,FY,DC Case Category,DC Case Type,Filing/Disposition Type,Count,Count Description
12,Allegany,FY2012,Misc,Municipal Infractions,ALL,174,Filing
12,Allegany,FY2012,Landlord Tenant,Landlord Tenant,ALL,49,Filing
12,Allegany,FY2012,Misc,Emergency Evaluations,ALL,30,Filing
12,Allegany,FY2012,Civil,Civil,ALL,1638,Filing
12,Allegany,FY2012,Misc,Civil Citations,ALL,393,Filing
12,Allegany,FY2012,Criminal,Fugitive Warrants,ALL,107,Filing
12,Allegany,FY2012,Criminal,Criminal,ALL,3417,Filing
12,Allegany,FY2012,Motor Vehicle,Payable & Must Appear,ALL,12705,Filing
12,Allegany,FY2012,Motor Vehicle,DUI/DWI,ALL,425,Filing
12,Allegany,FY2012,Peace Order & Domestic Violence,Domestic Violence,ALL,422,Filing
12,Allegany,FY2012,Peace Order & Domestic Violence,Peace Order ,ALL,208,Filing
12,Allegany,FY2012,Motor Vehicle,Parking & Red Light,ALL,58,Filing
12,Allegany,FY2012,Motor Vehicle,Payable & Must Appear,Paid,10038,Disposition
12,Allegany,FY2012,Motor Vehicle,Payable & Must Appear,Miscellaneous,741,Disposition
12,Allegany,FY2012,Motor Vehicle,DUI/DWI,Probation Before Judgment,179,Disposition
12,Allegany,FY2012,Motor Vehicle,Payable & Must Appear,Tried,1522,Disposition
12,Allegany,FY2012,Motor Vehicle,DUI/DWI,Guilty,173,Disposition
12,Allegany,FY2012,Motor Vehicle,DUI/DWI,Stet,20,Disposition
12,Allegany,FY2012,Motor Vehicle,DUI/DWI,Nolle Prosequi,76,Disposition
12,Allegany,FY2012,Motor Vehicle,DUI/DWI,Not Guilty,5,Disposition
12,Allegany,FY2012,Misc,Civil Citations,All Disposition Manner,368,Disposition
12,Allegany,FY2012,Criminal,Criminal,Nolle Prosequi,1160,Disposition
12,Allegany,FY2012,Criminal,Criminal,Other,1,Disposition
12,Allegany,FY2012,Criminal,Criminal,Probation Before Judgment,263,Disposition
12,Allegany,FY2012,Criminal,Criminal,Dismissed,11,Disposition
12,Allegany,FY2012,Criminal,Criminal,Forwarded to Circuit Court,152,Disposition
12,Allegany,FY2012,Criminal,Criminal,Guilty,717,Disposition
12,Allegany,FY2012,Criminal,Criminal,Stet,635,Disposition
12,Allegany,FY2012,Misc,Municipal Infractions,All Disposition Manner,167,Disposition
12,Allegany,FY2012,Criminal,Criminal,Not Guilty,63,Disposition
12,Allegany,FY2012,Criminal,Criminal,Jury Trial Prayer,236,Disposition
12,Allegany,FY2012,Civil,Civil,All Judgements,992,Disposition
12,Allegany,FY2012,Peace Order & Domestic Violence,Domestic Violence,Protective Orders Granted,126,Disposition
12,Allegany,FY2012,Peace Order & Domestic Violence,Peace Order,Peace Orders Granted,80,Disposition
12,Allegany,FY2012,Peace Order & Domestic Violence,Domestic Violence,Denied/Dismissed,288,Disposition
12,Allegany,FY2012,Peace Order & Domestic Violence,Peace Order,Denied/Dismissed,828,Disposition
12,Allegany,FY2012,Motor Vehicle,Parking & Red Light,All Disposition Manner,58,Disposition
12,Allegany,FY2012,Misc,Emergency Evaluations,Granted,26,Disposition
12,Allegany,FY2013,Landlord Tenant,Landlord Tenant,ALL,59,Filing
12,Allegany,FY2013,Misc,Municipal Infractions,ALL,149,Filing
12,Allegany,FY2013,Criminal,Fugitive Warrants,ALL,114,Filing
12,Allegany,FY2013,Criminal,Criminal,ALL,3469,Filing
12,Allegany,FY2013,Misc,Civil Citations,ALL,236,Filing
12,Allegany,FY2013,Misc,Emergency Evaluations,ALL,29,Filing
12,Allegany,FY2013,Civil,Civil,ALL,1531,Filing
12,Allegany,FY2013,Motor Vehicle,Payable & Must Appear,ALL,10565,Filing
12,Allegany,FY2013,Motor Vehicle,DUI/DWI,ALL,407,Filing
12,Allegany,FY2013,Peace Order & Domestic Violence,Domestic Violence,ALL,365,Filing
12,Allegany,FY2013,Peace Order & Domestic Violence,Peace Order ,ALL,190,Filing
12,Allegany,FY2013,Motor Vehicle,Parking & Red Light,ALL,26,Filing
12,Allegany,FY2013,Motor Vehicle,Payable & Must Appear,Paid,8271,Disposition
12,Allegany,FY2013,Motor Vehicle,Payable & Must Appear,Miscellaneous,940,Disposition
